Week,Store No,Format,Sq Ft,Total POS,Store Holiday
2/5/2010,559,GRN,39633,466413.85,0
2/12/2010,559,GRN,39633,425520.59,1
2/19/2010,559,GRN,39633,426433.82,0
2/26/2010,559,GRN,39633,411996.49,0
3/5/2010,559,GRN,39633,419993.67,0
3/12/2010,559,GRN,39633,388992.32,0
3/19/2010,559,GRN,39633,380120.22,0
3/26/2010,559,GRN,39633,364740.90,0
4/2/2010,559,GRN,39633,428086.03,0
4/9/2010,559,GRN,39633,420661.91,0
4/16/2010,559,GRN,39633,1097278.40,0
4/23/2010,559,GRN,39633,344768.28,0
4/30/2010,559,GRN,39633,366040.02,0
5/7/2010,559,GRN,39633,404115.49,0
5/14/2010,559,GRN,39633,389149.57,0
5/21/2010,559,GRN,39633,348554.80,0
5/28/2010,559,GRN,39633,354880.86,0
6/4/2010,559,GRN,39633,401760.43,0
6/11/2010,559,GRN,39633,359808.72,0
6/18/2010,559,GRN,39633,368868.48,0
6/25/2010,559,GRN,39633,362138.11,0
7/2/2010,559,GRN,39633,385943.35,0
7/9/2010,559,GRN,39633,354005.81,0
7/16/2010,559,GRN,39633,357520.41,0
7/23/2010,559,GRN,39633,357656.12,0
7/30/2010,559,GRN,39633,352746.68,0
8/6/2010,559,GRN,39633,407427.39,0
8/13/2010,559,GRN,39633,,0
8/20/2010,559,GRN,39633,356519.84,0
8/27/2010,559,GRN,39633,366925.72,0
9/3/2010,559,GRN,39633,371265.60,0
9/10/2010,559,GRN,39633,357052.60,1
9/17/2010,559,GRN,39633,367856.27,0
9/24/2010,559,GRN,39633,360418.50,0
10/1/2010,559,GRN,39633,363575.73,0
10/8/2010,559,GRN,39633,399898.98,0
10/15/2010,559,GRN,39633,350376.02,0
10/22/2010,559,GRN,39633,353687.61,0
10/29/2010,559,GRN,39633,353383.37,0
11/5/2010,559,GRN,39633,427967.19,0
11/12/2010,559,GRN,39633,391426.66,0
11/19/2010,559,GRN,39633,377336.95,0
11/26/2010,559,GRN,39633,570359.47,1
12/3/2010,559,GRN,39633,481212.40,0
12/10/2010,559,GRN,39633,472433.66,0
12/17/2010,559,GRN,39633,502951.02,0
12/24/2010,559,GRN,39633,610782.04,0
12/31/2010,559,GRN,39633,387469.39,1
1/7/2011,559,GRN,39633,383032.97,0
1/14/2011,559,GRN,39633,385852.73,0
1/21/2011,559,GRN,39633,355668.33,0
1/28/2011,559,GRN,39633,1139132.42,0
2/4/2011,559,GRN,39633,443308.16,0
2/11/2011,559,GRN,39633,435317.84,1
2/18/2011,559,GRN,39633,437573.73,0
2/25/2011,559,GRN,39633,402002.82,0
3/4/2011,559,GRN,39633,441876.14,0
3/11/2011,559,GRN,39633,409544.93,0
3/18/2011,559,GRN,39633,396901.14,0
3/25/2011,559,GRN,39633,385475.30,0
4/1/2011,559,GRN,39633,379347.71,0
4/8/2011,559,GRN,39633,388866.94,0
4/15/2011,559,GRN,39633,371042.32,0
4/22/2011,559,GRN,39633,396651.67,0
4/29/2011,559,GRN,39633,372197.03,0
5/6/2011,559,GRN,39633,417833.75,0
5/13/2011,559,GRN,39633,391104.31,0
5/20/2011,559,GRN,39633,369394.76,0
5/27/2011,559,GRN,39633,374142.23,0
6/3/2011,559,GRN,39633,399299.47,0
6/10/2011,559,GRN,39633,396430.38,0
6/17/2011,559,GRN,39633,408214.97,0
6/24/2011,559,GRN,39633,390312.34,0
7/1/2011,559,GRN,39633,373754.35,0
7/8/2011,559,GRN,39633,399937.87,0
7/15/2011,559,GRN,39633,,0
7/22/2011,559,GRN,39633,365409.00,0
7/29/2011,559,GRN,39633,350172.92,0
8/5/2011,559,GRN,39633,414772.88,0
8/12/2011,559,GRN,39633,385168.48,0
8/19/2011,559,GRN,39633,384508.54,0
8/26/2011,559,GRN,39633,1146021.94,0
9/2/2011,559,GRN,39633,380780.32,0
9/9/2011,559,GRN,39633,382139.12,1
9/16/2011,559,GRN,39633,380421.14,0
9/23/2011,559,GRN,39633,370040.57,0
9/30/2011,559,GRN,39633,373269.56,0
10/7/2011,559,GRN,39633,,0
10/14/2011,559,GRN,39633,373074.20,0
10/21/2011,559,GRN,39633,399767.99,0
10/28/2011,559,GRN,39633,394332.25,0
11/4/2011,559,GRN,39633,464234.85,0
11/11/2011,559,GRN,39633,428847.43,0
11/18/2011,559,GRN,39633,412569.92,0
11/25/2011,559,GRN,39633,603188.50,1
12/2/2011,559,GRN,39633,490367.28,0
12/9/2011,559,GRN,39633,485326.65,0
12/16/2011,559,GRN,39633,521651.23,0
12/23/2011,559,GRN,39633,560772.81,0
12/30/2011,559,GRN,39633,435797.61,1
1/6/2012,559,GRN,39633,421812.68,0
1/13/2012,559,GRN,39633,384284.09,0
1/20/2012,559,GRN,39633,377498.76,0
1/27/2012,559,GRN,39633,358617.27,0
2/3/2012,559,GRN,39633,452582.50,0
2/10/2012,559,GRN,39633,496812.77,1
2/17/2012,559,GRN,39633,493969.59,0
2/24/2012,559,GRN,39633,436730.69,0
3/2/2012,559,GRN,39633,485739.46,0
3/9/2012,559,GRN,39633,465099.97,0
3/16/2012,559,GRN,39633,424362.60,0
3/23/2012,559,GRN,39633,423870.93,0
3/30/2012,559,GRN,39633,417429.72,0
4/6/2012,559,GRN,39633,517216.26,0
4/13/2012,559,GRN,39633,438392.02,0
4/20/2012,559,GRN,39633,447582.53,0
4/27/2012,559,GRN,39633,403367.07,0
5/4/2012,559,GRN,39633,452147.80,0
5/11/2012,559,GRN,39633,444393.63,0
5/18/2012,559,GRN,39633,429450.92,0
5/25/2012,559,GRN,39633,425323.02,0
6/1/2012,559,GRN,39633,446235.43,0
6/8/2012,559,GRN,39633,463056.30,0
6/15/2012,559,GRN,39633,454101.63,0
6/22/2012,559,GRN,39633,432031.42,0
6/29/2012,559,GRN,39633,434490.36,0
7/6/2012,559,GRN,39633,425069.74,0
7/13/2012,559,GRN,39633,429399.27,0
7/20/2012,559,GRN,39633,442982.30,0
7/27/2012,559,GRN,39633,404321.37,0
8/3/2012,559,GRN,39633,437347.59,0
8/10/2012,559,GRN,39633,406167.23,0
8/17/2012,559,GRN,39633,404427.17,0
8/24/2012,559,GRN,39633,425470.20,0
8/31/2012,559,GRN,39633,426176.48,0
9/7/2012,559,GRN,39633,420383.66,1
9/14/2012,559,GRN,39633,422204.40,0
9/21/2012,559,GRN,39633,428628.86,0
9/28/2012,559,GRN,39633,401095.35,0
2/5/2010,426,RED,204746,1657426.73,0
2/12/2010,426,RED,204746,1611075.49,1
2/19/2010,426,RED,204746,1571929.70,0
2/26/2010,426,RED,204746,1437744.84,0
3/5/2010,426,RED,204746,1606140.45,0
3/12/2010,426,RED,204746,1563412.99,0
3/19/2010,426,RED,204746,1697850.54,0
3/26/2010,426,RED,204746,1476825.01,0
4/2/2010,426,RED,204746,1775125.53,0
4/9/2010,426,RED,204746,1671973.45,0
4/16/2010,426,RED,204746,1524637.99,0
4/23/2010,426,RED,204746,1545227.62,0
4/30/2010,426,RED,204746,1502871.79,0
5/7/2010,426,RED,204746,1624711.67,0
5/14/2010,426,RED,204746,1528851.03,0
5/21/2010,426,RED,204746,1536730.07,0
5/28/2010,426,RED,204746,1649262.29,0
6/4/2010,426,RED,204746,1862171.72,0
6/11/2010,426,RED,204746,1690443.98,0
6/18/2010,426,RED,204746,1682039.87,0
6/25/2010,426,RED,204746,1645473.51,0
7/2/2010,426,RED,204746,1764568.88,0
7/9/2010,426,RED,204746,1695109.62,0
7/16/2010,426,RED,204746,1564912.43,0
7/23/2010,426,RED,204746,1590032.55,0
7/30/2010,426,RED,204746,1537100.41,0
8/6/2010,426,RED,204746,1638033.22,0
8/13/2010,426,RED,204746,1552446.61,0
8/20/2010,426,RED,204746,1544722.13,0
8/27/2010,426,RED,204746,1917322.95,0
9/3/2010,426,RED,204746,1515716.95,0
9/10/2010,426,RED,204746,1429017.07,1
9/17/2010,426,RED,204746,1313329.38,0
9/24/2010,426,RED,204746,1280383.47,0
10/1/2010,426,RED,204746,1333260.52,0
10/8/2010,426,RED,204746,1365109.53,0
10/15/2010,426,RED,204746,1349372.55,0
10/22/2010,426,RED,204746,1337508.16,0
10/29/2010,426,RED,204746,1390115.33,0
11/5/2010,426,RED,204746,1510233.78,0
11/12/2010,426,RED,204746,1500328.09,0
11/19/2010,426,RED,204746,1523633.08,0
11/26/2010,426,RED,204746,2272244.03,1
12/3/2010,426,RED,204746,1681858.87,0
12/10/2010,426,RED,204746,1839529.21,0
12/17/2010,426,RED,204746,2095060.58,0
12/24/2010,426,RED,204746,2732366.81,0
12/31/2010,426,RED,204746,1468841.65,1
1/7/2011,426,RED,204746,1355233.31,0
1/14/2011,426,RED,204746,1310986.18,0
1/21/2011,426,RED,204746,1266044.81,0
1/28/2011,426,RED,204746,1291826.33,0
2/4/2011,426,RED,204746,1519790.80,0
2/11/2011,426,RED,204746,1491711.80,1
2/18/2011,426,RED,204746,1576909.17,0
2/25/2011,426,RED,204746,1427392.06,0
3/4/2011,426,RED,204746,1507409.62,0
3/11/2011,426,RED,204746,1499289.02,0
3/18/2011,426,RED,204746,1690167.10,0
3/25/2011,426,RED,204746,1443257.44,0
4/1/2011,426,RED,204746,1464068.40,0
4/8/2011,426,RED,204746,2276672.24,0
4/15/2011,426,RED,204746,1453588.65,0
4/22/2011,426,RED,204746,1644150.56,0
4/29/2011,426,RED,204746,1484041.53,0
5/6/2011,426,RED,204746,1509443.20,0
5/13/2011,426,RED,204746,1457977.28,0
5/20/2011,426,RED,204746,1387575.46,0
5/27/2011,426,RED,204746,1528770.74,0
6/3/2011,426,RED,204746,1710297.92,0
6/10/2011,426,RED,204746,1603435.28,0
6/17/2011,426,RED,204746,1626941.96,0
6/24/2011,426,RED,204746,1548157.53,0
7/1/2011,426,RED,204746,1699342.78,0
7/8/2011,426,RED,204746,1714165.25,0
7/15/2011,426,RED,204746,1531592.87,0
7/22/2011,426,RED,204746,1531297.71,0
7/29/2011,426,RED,204746,1488782.68,0
8/5/2011,426,RED,204746,1606376.20,0
8/12/2011,426,RED,204746,1489787.01,0
8/19/2011,426,RED,204746,1498335.67,0
8/26/2011,426,RED,204746,1425197.04,0
9/2/2011,426,RED,204746,1486410.37,0
9/9/2011,426,RED,204746,1488366.01,1
9/16/2011,426,RED,204746,1356199.42,0
9/23/2011,426,RED,204746,1340836.38,0
9/30/2011,426,RED,204746,1312343.55,0
10/7/2011,426,RED,204746,1486530.83,0
10/14/2011,426,RED,204746,1391312.62,0
10/21/2011,426,RED,204746,1422714.00,0
10/28/2011,426,RED,204746,1424236.75,0
11/4/2011,426,RED,204746,1528212.01,0
11/11/2011,426,RED,204746,1568102.38,0
11/18/2011,426,RED,204746,1546699.81,0
11/25/2011,426,RED,204746,2343119.56,1
12/2/2011,426,RED,204746,1737446.01,0
12/9/2011,426,RED,204746,1933443.73,0
12/16/2011,426,RED,204746,2056207.02,0
12/23/2011,426,RED,204746,2662122.27,0
12/30/2011,426,RED,204746,1699443.53,1
1/6/2012,426,RED,204746,1446874.00,0
1/13/2012,426,RED,204746,1374656.55,0
1/20/2012,426,RED,204746,1346793.37,0
1/27/2012,426,RED,204746,1328961.23,0
2/3/2012,426,RED,204746,1578952.12,0
2/10/2012,426,RED,204746,1663270.98,1
2/17/2012,426,RED,204746,1683356.52,0
2/24/2012,426,RED,204746,1497969.57,0
3/2/2012,426,RED,204746,1594432.09,0
3/9/2012,426,RED,204746,1592174.53,0
3/16/2012,426,RED,204746,1767959.35,0
3/23/2012,426,RED,204746,1513287.25,0
3/30/2012,426,RED,204746,1534928.14,0
4/6/2012,426,RED,204746,1864895.41,0
4/13/2012,426,RED,204746,1640947.54,0
4/20/2012,426,RED,204746,1473264.12,0
4/27/2012,426,RED,204746,1469881.90,0
5/4/2012,426,RED,204746,1574230.52,0
5/11/2012,426,RED,204746,1548062.01,0
5/18/2012,426,RED,204746,2181144.14,0
5/25/2012,426,RED,204746,1625797.83,0
6/1/2012,426,RED,204746,1703782.31,0
6/8/2012,426,RED,204746,1723689.43,0
6/15/2012,426,RED,204746,1667127.42,0
6/22/2012,426,RED,204746,1644341.88,0
6/29/2012,426,RED,204746,1665180.01,0
7/6/2012,426,RED,204746,1900791.57,0
7/13/2012,426,RED,204746,1613463.04,0
7/20/2012,426,RED,204746,1597562.47,0
7/27/2012,426,RED,204746,2037591.30,0
8/3/2012,426,RED,204746,1689708.01,0
8/10/2012,426,RED,204746,1614262.01,0
8/17/2012,426,RED,204746,1567075.98,0
8/24/2012,426,RED,204746,1526799.97,0
8/31/2012,426,RED,204746,1627561.10,0
9/7/2012,426,RED,204746,1637366.55,1
9/14/2012,426,RED,204746,1408650.19,0
9/21/2012,426,RED,204746,1452810.28,0
9/28/2012,426,RED,204746,1386235.96,0
2/5/2010,1303,GRN,72954,501517.07,0
2/12/2010,1303,GRN,72954,528896.55,1
2/19/2010,1303,GRN,72954,511552.17,0
2/26/2010,1303,GRN,72954,500874.87,0
3/5/2010,1303,GRN,72954,496211.18,0
3/12/2010,1303,GRN,72954,485243.73,0
3/19/2010,1303,GRN,72954,579241.86,0
3/26/2010,1303,GRN,72954,519523.23,0
4/2/2010,1303,GRN,72954,565936.77,0
4/9/2010,1303,GRN,72954,489054.88,0
4/16/2010,1303,GRN,72954,411019.82,0
4/23/2010,1303,GRN,72954,409542.88,0
4/30/2010,1303,GRN,72954,378447.24,0
5/7/2010,1303,GRN,72954,400245.46,0
5/14/2010,1303,GRN,72954,377465.24,0
5/21/2010,1303,GRN,72954,399987.28,0
5/28/2010,1303,GRN,72954,447526.18,0
6/4/2010,1303,GRN,72954,513974.85,0
6/11/2010,1303,GRN,72954,503372.50,0
6/18/2010,1303,GRN,72954,485935.72,0
6/25/2010,1303,GRN,72954,1324975.03,0
7/2/2010,1303,GRN,72954,580362.40,0
7/9/2010,1303,GRN,72954,598253.97,0
7/16/2010,1303,GRN,72954,561957.98,0
7/23/2010,1303,GRN,72954,575022.84,0
7/30/2010,1303,GRN,72954,608338.79,0
8/6/2010,1303,GRN,72954,648645.80,0
8/13/2010,1303,GRN,72954,602977.03,0
8/20/2010,1303,GRN,72954,587144.80,0
8/27/2010,1303,GRN,72954,559100.87,0
9/3/2010,1303,GRN,72954,537556.68,0
9/10/2010,1303,GRN,72954,540560.95,1
9/17/2010,1303,GRN,72954,494200.16,0
9/24/2010,1303,GRN,72954,492800.46,0
10/1/2010,1303,GRN,72954,453790.36,0
10/8/2010,1303,GRN,72954,485031.51,0
10/15/2010,1303,GRN,72954,468162.11,0
10/22/2010,1303,GRN,72954,,0
10/29/2010,1303,GRN,72954,470284.78,0
11/5/2010,1303,GRN,72954,485304.07,0
11/12/2010,1303,GRN,72954,512375.92,0
11/19/2010,1303,GRN,72954,487319.99,0
11/26/2010,1303,GRN,72954,839980.89,1
12/3/2010,1303,GRN,72954,557603.25,0
12/10/2010,1303,GRN,72954,604521.70,0
12/17/2010,1303,GRN,72954,721180.44,0
12/24/2010,1303,GRN,72954,1049916.51,0
12/31/2010,1303,GRN,72954,734363.71,1
1/7/2011,1303,GRN,72954,665955.57,0
1/14/2011,1303,GRN,72954,552176.53,0
1/21/2011,1303,GRN,72954,526331.09,0
1/28/2011,1303,GRN,72954,518163.80,0
2/4/2011,1303,GRN,72954,562819.40,0
2/11/2011,1303,GRN,72954,564694.76,1
2/18/2011,1303,GRN,72954,577179.10,0
2/25/2011,1303,GRN,72954,551482.47,0
3/4/2011,1303,GRN,72954,556170.02,0
3/11/2011,1303,GRN,72954,563755.46,0
3/18/2011,1303,GRN,72954,639806.32,0
3/25/2011,1303,GRN,72954,563853.21,0
4/1/2011,1303,GRN,72954,518201.30,0
4/8/2011,1303,GRN,72954,505343.79,0
4/15/2011,1303,GRN,72954,,0
4/22/2011,1303,GRN,72954,471386.52,0
4/29/2011,1303,GRN,72954,415221.36,0
5/6/2011,1303,GRN,72954,411804.10,0
5/13/2011,1303,GRN,72954,418885.68,0
5/20/2011,1303,GRN,72954,429462.61,0
5/27/2011,1303,GRN,72954,462008.50,0
6/3/2011,1303,GRN,72954,547087.00,0
6/10/2011,1303,GRN,72954,625891.58,0
6/17/2011,1303,GRN,72954,615782.98,0
6/24/2011,1303,GRN,72954,644835.60,0
7/1/2011,1303,GRN,72954,709135.84,0
7/8/2011,1303,GRN,72954,766585.57,0
7/15/2011,1303,GRN,72954,647539.84,0
7/22/2011,1303,GRN,72954,692835.59,0
7/29/2011,1303,GRN,72954,658174.25,0
8/5/2011,1303,GRN,72954,700184.47,0
8/12/2011,1303,GRN,72954,675462.09,0
8/19/2011,1303,GRN,72954,649947.84,0
8/26/2011,1303,GRN,72954,634786.10,0
9/2/2011,1303,GRN,72954,597146.87,0
9/9/2011,1303,GRN,72954,617926.86,1
9/16/2011,1303,GRN,72954,,0
9/23/2011,1303,GRN,72954,540936.44,0
9/30/2011,1303,GRN,72954,493671.89,0
10/7/2011,1303,GRN,72954,530657.99,0
10/14/2011,1303,GRN,72954,506750.82,0
10/21/2011,1303,GRN,72954,563483.06,0
10/28/2011,1303,GRN,72954,532131.15,0
11/4/2011,1303,GRN,72954,569327.64,0
11/11/2011,1303,GRN,72954,572422.17,0
11/18/2011,1303,GRN,72954,1023025.42,0
11/25/2011,1303,GRN,72954,1000036.88,1
12/2/2011,1303,GRN,72954,616560.92,0
12/9/2011,1303,GRN,72954,668171.77,0
12/16/2011,1303,GRN,72954,733353.06,0
12/23/2011,1303,GRN,72954,1070586.29,0
12/30/2011,1303,GRN,72954,844912.95,1
1/6/2012,1303,GRN,72954,740197.97,0
1/13/2012,1303,GRN,72954,613090.33,0
1/20/2012,1303,GRN,72954,595787.00,0
1/27/2012,1303,GRN,72954,552366.48,0
2/3/2012,1303,GRN,72954,666385.13,0
2/10/2012,1303,GRN,72954,599293.27,1
2/17/2012,1303,GRN,72954,646937.84,0
2/24/2012,1303,GRN,72954,632305.39,0
3/2/2012,1303,GRN,72954,620738.67,0
3/9/2012,1303,GRN,72954,604222.78,0
3/16/2012,1303,GRN,72954,685273.15,0
3/23/2012,1303,GRN,72954,633427.47,0
3/30/2012,1303,GRN,72954,602358.75,0
4/6/2012,1303,GRN,72954,640836.80,0
4/13/2012,1303,GRN,72954,531320.82,0
4/20/2012,1303,GRN,72954,470904.02,0
4/27/2012,1303,GRN,72954,477133.72,0
5/4/2012,1303,GRN,72954,481579.56,0
5/11/2012,1303,GRN,72954,494425.02,0
5/18/2012,1303,GRN,72954,481265.21,0
5/25/2012,1303,GRN,72954,547856.78,0
6/1/2012,1303,GRN,72954,611664.11,0
6/8/2012,1303,GRN,72954,659222.92,0
6/15/2012,1303,GRN,72954,694113.87,0
6/22/2012,1303,GRN,72954,711390.54,0
6/29/2012,1303,GRN,72954,714891.83,0
7/6/2012,1303,GRN,72954,820927.92,0
7/13/2012,1303,GRN,72954,761767.30,0
7/20/2012,1303,GRN,72954,698788.64,0
7/27/2012,1303,GRN,72954,699907.33,0
8/3/2012,1303,GRN,72954,709261.71,0
8/10/2012,1303,GRN,72954,691638.83,0
8/17/2012,1303,GRN,72954,655383.09,0
8/24/2012,1303,GRN,72954,625711.52,0
8/31/2012,1303,GRN,72954,604959.01,0
9/7/2012,1303,GRN,72954,613113.25,1
9/14/2012,1303,GRN,72954,557579.73,0
9/21/2012,1303,GRN,72954,548521.17,0
9/28/2012,1303,GRN,72954,540515.98,0
2/5/2010,1454,RED,157319,1008928.72,0
2/12/2010,1454,RED,157319,999593.03,1
2/19/2010,1454,RED,157319,968752.00,0
2/26/2010,1454,RED,157319,852383.74,0
3/5/2010,1454,RED,157319,886295.58,0
3/12/2010,1454,RED,157319,865127.79,0
3/19/2010,1454,RED,157319,844702.63,0
3/26/2010,1454,RED,157319,777330.75,0
4/2/2010,1454,RED,157319,919292.54,0
4/9/2010,1454,RED,157319,920825.55,0
4/16/2010,1454,RED,157319,887708.75,0
4/23/2010,1454,RED,157319,855231.89,0
4/30/2010,1454,RED,157319,783464.27,0
5/7/2010,1454,RED,157319,921612.59,0
5/14/2010,1454,RED,157319,878129.47,0
5/21/2010,1454,RED,157319,823124.84,0
5/28/2010,1454,RED,157319,872833.19,0
6/4/2010,1454,RED,157319,963017.04,0
6/11/2010,1454,RED,157319,919627.49,0
6/18/2010,1454,RED,157319,874714.19,0
6/25/2010,1454,RED,157319,819710.74,0
7/2/2010,1454,RED,157319,857125.38,0
7/9/2010,1454,RED,157319,850081.40,0
7/16/2010,1454,RED,157319,853422.20,0
7/23/2010,1454,RED,157319,1517846.22,0
7/30/2010,1454,RED,157319,792086.72,0
8/6/2010,1454,RED,157319,898191.40,0
8/13/2010,1454,RED,157319,872710.84,0
8/20/2010,1454,RED,157319,875468.07,0
8/27/2010,1454,RED,157319,893608.41,0
9/3/2010,1454,RED,157319,903828.10,0
9/10/2010,1454,RED,157319,836216.83,1
9/17/2010,1454,RED,157319,841499.48,0
9/24/2010,1454,RED,157319,778516.71,0
10/1/2010,1454,RED,157319,808897.12,0
10/8/2010,1454,RED,157319,875141.49,0
10/15/2010,1454,RED,157319,831338.59,0
10/22/2010,1454,RED,157319,841210.77,0
10/29/2010,1454,RED,157319,835548.39,0
11/5/2010,1454,RED,157319,932057.97,0
11/12/2010,1454,RED,157319,916330.61,0
11/19/2010,1454,RED,157319,890399.67,0
11/26/2010,1454,RED,157319,1266484.79,1
12/3/2010,1454,RED,157319,957558.56,0
12/10/2010,1454,RED,157319,1073853.26,0
12/17/2010,1454,RED,157319,1225371.18,0
12/24/2010,1454,RED,157319,1516432.72,0
12/31/2010,1454,RED,157319,778378.12,1
1/7/2011,1454,RED,157319,877856.86,0
1/14/2011,1454,RED,157319,814438.29,0
1/21/2011,1454,RED,157319,827459.86,0
1/28/2011,1454,RED,157319,787048.29,0
2/4/2011,1454,RED,157319,949386.41,0
2/11/2011,1454,RED,157319,1000939.02,1
2/18/2011,1454,RED,157319,1069900.27,0
2/25/2011,1454,RED,157319,922108.78,0
3/4/2011,1454,RED,157319,940058.06,0
3/11/2011,1454,RED,157319,905178.92,0
3/18/2011,1454,RED,157319,903080.77,0
3/25/2011,1454,RED,157319,832759.99,0
4/1/2011,1454,RED,157319,883553.93,0
4/8/2011,1454,RED,157319,954617.46,0
4/15/2011,1454,RED,157319,913070.37,0
4/22/2011,1454,RED,157319,942264.76,0
4/29/2011,1454,RED,157319,859806.40,0
5/6/2011,1454,RED,157319,946248.97,0
5/13/2011,1454,RED,157319,900555.04,0
5/20/2011,1454,RED,157319,840841.52,0
5/27/2011,1454,RED,157319,862731.04,0
6/3/2011,1454,RED,157319,934013.79,0
6/10/2011,1454,RED,157319,902101.04,0
6/17/2011,1454,RED,157319,926840.04,0
6/24/2011,1454,RED,157319,869672.87,0
7/1/2011,1454,RED,157319,1621462.89,0
7/8/2011,1454,RED,157319,866756.75,0
7/15/2011,1454,RED,157319,854717.00,0
7/22/2011,1454,RED,157319,834694.05,0
7/29/2011,1454,RED,157319,811873.82,0
8/5/2011,1454,RED,157319,897185.40,0
8/12/2011,1454,RED,157319,861587.73,0
8/19/2011,1454,RED,157319,899858.13,0
8/26/2011,1454,RED,157319,917334.45,0
9/2/2011,1454,RED,157319,896178.77,0
9/9/2011,1454,RED,157319,853149.72,1
9/16/2011,1454,RED,157319,1454427.18,0
9/23/2011,1454,RED,157319,811235.92,0
9/30/2011,1454,RED,157319,813841.00,0
10/7/2011,1454,RED,157319,934768.18,0
10/14/2011,1454,RED,157319,867979.89,0
10/21/2011,1454,RED,157319,910776.12,0
10/28/2011,1454,RED,157319,881503.94,0
11/4/2011,1454,RED,157319,952606.68,0
11/11/2011,1454,RED,157319,940906.23,0
11/18/2011,1454,RED,157319,917976.79,0
11/25/2011,1454,RED,157319,1291507.11,1
12/2/2011,1454,RED,157319,1014145.76,0
12/9/2011,1454,RED,157319,1076924.48,0
12/16/2011,1454,RED,157319,1130185.07,0
12/23/2011,1454,RED,157319,1478791.59,0
12/30/2011,1454,RED,157319,909019.49,1
1/6/2012,1454,RED,157319,914787.03,0
1/13/2012,1454,RED,157319,849832.50,0
1/20/2012,1454,RED,157319,828749.25,0
1/27/2012,1454,RED,157319,817773.34,0
